epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
91,16315.4,0.85332,0.45656,0.00614,0.97052,0.93433,0.97382,0.80929,0.76916,0.47644,0.00771,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,16494.5,0.85183,0.44557,0.00611,0.96736,0.93422,0.974,0.81002,0.76891,0.47525,0.00773,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,16673.6,0.86442,0.4494,0.00619,0.97029,0.93283,0.97382,0.80958,0.76738,0.47183,0.00773,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,16852.4,0.84554,0.44103,0.00604,0.96929,0.93563,0.97436,0.80887,0.76804,0.47111,0.00773,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,17031.5,0.85055,0.44766,0.00611,0.97138,0.93659,0.97423,0.80984,0.76889,0.46889,0.00772,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,17210.7,0.84902,0.44897,0.00608,0.96897,0.93751,0.97423,0.80935,0.77392,0.46603,0.00779,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,17390.1,0.84361,0.43739,0.00609,0.96998,0.93361,0.97391,0.80933,0.77028,0.47285,0.00772,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,17569.3,0.84651,0.43864,0.00603,0.96848,0.93621,0.97425,0.80996,0.76779,0.47909,0.00769,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,17748.4,0.8465,0.44883,0.00608,0.96898,0.93471,0.97395,0.80998,0.76493,0.49093,0.00757,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,17927.3,0.84376,0.43805,0.00613,0.96882,0.93358,0.97371,0.80966,0.76629,0.48828,0.00755,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,18106.5,0.83344,0.43365,0.00596,0.9646,0.94066,0.97435,0.80913,0.76557,0.49532,0.00755,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,18285.5,0.83526,0.43119,0.00605,0.96975,0.93696,0.97394,0.8095,0.76721,0.50236,0.00758,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,18464.8,0.83807,0.43766,0.00601,0.96627,0.93846,0.97422,0.80878,0.76539,0.48942,0.0076,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,18644.1,0.84282,0.43666,0.00597,0.96974,0.93792,0.97422,0.81027,0.76427,0.48651,0.00759,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,18823.2,0.83366,0.42723,0.006,0.96396,0.94337,0.97412,0.81021,0.76378,0.48441,0.00761,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,19002.4,0.83144,0.42307,0.00598,0.96551,0.9455,0.97404,0.80966,0.76317,0.48309,0.0076,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,19181.6,0.83494,0.43162,0.00598,0.9614,0.94383,0.97413,0.80977,0.76385,0.48195,0.00761,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,19360.8,0.82835,0.42606,0.00595,0.96209,0.94273,0.97417,0.81022,0.76258,0.48305,0.00759,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,19539.7,0.82817,0.42542,0.00595,0.9573,0.94221,0.97386,0.80844,0.7636,0.48071,0.00761,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,19718.6,0.82545,0.4328,0.00595,0.96593,0.9361,0.97359,0.80803,0.76337,0.48116,0.00761,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,19897.8,0.82358,0.42425,0.00591,0.96735,0.93659,0.97363,0.80754,0.76378,0.47904,0.00761,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,20076.9,0.82464,0.42417,0.00586,0.96762,0.93659,0.97369,0.80775,0.76246,0.47806,0.00759,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,20255.8,0.8278,0.42355,0.00597,0.96395,0.94034,0.9738,0.80938,0.76137,0.479,0.00757,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,20435,0.83121,0.42183,0.00591,0.96513,0.94034,0.97401,0.80955,0.76116,0.4826,0.00755,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,20614.2,0.82112,0.4308,0.00591,0.96684,0.94076,0.9738,0.80965,0.76102,0.48099,0.00755,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,20793.1,0.8214,0.42371,0.00593,0.96496,0.94041,0.97401,0.80889,0.76132,0.47948,0.00756,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,20972,0.81718,0.41641,0.0059,0.96631,0.9364,0.9737,0.80836,0.76203,0.48032,0.00753,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,21151.1,0.8154,0.41263,0.00583,0.96605,0.93952,0.97371,0.80849,0.76178,0.47961,0.00753,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,21330.3,0.81412,0.41836,0.00585,0.96088,0.94184,0.97353,0.80862,0.76171,0.47869,0.00757,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,21509.5,0.81104,0.41757,0.00574,0.96277,0.94109,0.97359,0.80987,0.76188,0.48131,0.00758,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,21688.6,0.8158,0.41945,0.00584,0.9608,0.94184,0.97335,0.81047,0.76205,0.47999,0.00757,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,21867.9,0.81571,0.41471,0.00581,0.9592,0.94409,0.97329,0.81045,0.76236,0.47916,0.00757,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,22046.9,0.80887,0.4123,0.00578,0.96096,0.94296,0.97318,0.80966,0.76256,0.47959,0.00758,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,22226.1,0.81293,0.40923,0.00581,0.96561,0.93959,0.9733,0.8095,0.7621,0.48063,0.00756,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,22405.1,0.80992,0.40415,0.00584,0.95918,0.94354,0.97305,0.80943,0.76174,0.48225,0.00755,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,22584.3,0.81118,0.40705,0.00579,0.96258,0.93846,0.97307,0.80923,0.76109,0.48016,0.00753,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,22763.5,0.80666,0.4111,0.00575,0.96237,0.94049,0.97326,0.80866,0.76052,0.48058,0.00752,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,22942.8,0.8017,0.40187,0.00572,0.96591,0.93921,0.97346,0.80764,0.76004,0.48556,0.00752,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,23121.9,0.79897,0.40218,0.00571,0.96622,0.94109,0.97377,0.80863,0.75987,0.48444,0.00752,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,23301,0.80038,0.40818,0.00572,0.96533,0.9404,0.97375,0.80866,0.75981,0.48452,0.00752,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,23480.3,0.80132,0.40459,0.00572,0.96517,0.94146,0.97387,0.80818,0.76011,0.48331,0.00752,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,23659.2,0.79905,0.40638,0.0057,0.96608,0.94109,0.97404,0.80869,0.76173,0.48304,0.00754,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,23838.1,0.79501,0.39648,0.00569,0.96287,0.94146,0.97372,0.80854,0.76292,0.47558,0.00755,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
