epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
58,6136.03,0.90011,0.48067,0.00655,0.96243,0.93252,0.97217,0.80069,0.76811,0.48591,0.00775,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,6240.31,0.89341,0.48029,0.00643,0.96854,0.93557,0.97344,0.80505,0.783,0.47187,0.00794,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,6344.66,0.89281,0.47613,0.00649,0.96504,0.93058,0.97349,0.8075,0.78,0.44952,0.00782,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,6449,0.89582,0.48804,0.00651,0.9654,0.93996,0.97372,0.80399,0.77896,0.45822,0.00768,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,6553.19,0.89718,0.47563,0.00652,0.96479,0.93562,0.97385,0.80509,0.79064,0.45008,0.00798,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,6657.53,0.88501,0.46849,0.00638,0.96065,0.93809,0.97246,0.80401,0.79042,0.46199,0.00788,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,6761.84,0.88468,0.46612,0.00645,0.95821,0.94643,0.97355,0.80371,0.79101,0.46925,0.00789,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,6866.28,0.88021,0.47419,0.00638,0.95833,0.93809,0.97334,0.80331,0.77825,0.48769,0.00781,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,6970.59,0.87757,0.47771,0.00636,0.96094,0.94149,0.97571,0.80753,0.7629,0.48608,0.00772,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,7075.19,0.8853,0.47377,0.00643,0.95587,0.94334,0.97595,0.81061,0.76606,0.47439,0.0077,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,7179.41,0.8735,0.47256,0.00629,0.96092,0.94111,0.97579,0.81258,0.75252,0.4888,0.00751,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,7283.69,0.87523,0.46111,0.0063,0.96194,0.94259,0.97672,0.81211,0.75522,0.4829,0.00751,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,7387.95,0.86991,0.45573,0.0063,0.96848,0.93809,0.97637,0.81252,0.757,0.46371,0.00753,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,7492.33,0.87435,0.45659,0.00635,0.96859,0.93508,0.97643,0.80965,0.77366,0.45073,0.00767,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,7596.53,0.86373,0.46315,0.00624,0.97127,0.93283,0.97653,0.81211,0.77807,0.45566,0.00767,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,7700.87,0.86469,0.45975,0.00623,0.96323,0.94146,0.97563,0.81034,0.7792,0.45349,0.00769,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,7805.08,0.86373,0.45763,0.0063,0.96926,0.93456,0.97514,0.81086,0.77651,0.46115,0.00766,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,7909.27,0.86205,0.45374,0.00622,0.96931,0.93635,0.97543,0.81195,0.76885,0.46023,0.00753,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,8013.41,0.85943,0.45407,0.00621,0.96502,0.9419,0.97514,0.81194,0.75652,0.46273,0.00741,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,8117.59,0.85556,0.44982,0.00614,0.9677,0.94259,0.97484,0.81301,0.74991,0.4478,0.00741,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,8221.81,0.85721,0.44747,0.00616,0.9679,0.93659,0.97465,0.81049,0.74604,0.46321,0.00737,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,8326.09,0.84871,0.4508,0.0061,0.96002,0.94371,0.97437,0.81001,0.75147,0.46498,0.00736,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,8430.51,0.85227,0.45026,0.0061,0.96187,0.94667,0.97557,0.81157,0.75556,0.44562,0.00738,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,8534.8,0.85977,0.44348,0.00615,0.9601,0.94802,0.97594,0.81212,0.75888,0.44318,0.00744,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,8639.16,0.8537,0.44298,0.00619,0.97911,0.93211,0.97567,0.81328,0.75518,0.44604,0.0074,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,8743.51,0.84452,0.44269,0.0061,0.96944,0.94042,0.97545,0.81272,0.75283,0.4483,0.00739,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,8847.72,0.85202,0.44455,0.00618,0.96931,0.93639,0.97483,0.81437,0.75013,0.44921,0.00736,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,8952.06,0.84898,0.44546,0.0061,0.96922,0.9453,0.97485,0.81536,0.75037,0.44584,0.00738,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,9056.3,0.84733,0.44195,0.00607,0.97178,0.94071,0.97456,0.81417,0.75035,0.45282,0.00738,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,9160.53,0.84823,0.44191,0.00608,0.96843,0.94381,0.97454,0.81451,0.74795,0.45368,0.00735,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,9264.67,0.8493,0.43486,0.0061,0.97449,0.94602,0.97543,0.81501,0.74729,0.45221,0.00736,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,9368.98,0.84674,0.43879,0.00609,0.96877,0.94371,0.97585,0.81524,0.74752,0.44989,0.00734,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,9473.25,0.83563,0.43457,0.00599,0.97689,0.93959,0.97672,0.81657,0.74671,0.45051,0.00736,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,9577.58,0.83504,0.44473,0.00599,0.97093,0.94484,0.97626,0.8158,0.75092,0.4479,0.00739,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,9681.89,0.83926,0.43265,0.00601,0.97557,0.93996,0.97664,0.81713,0.74969,0.44896,0.00738,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,9786.26,0.84924,0.43622,0.00606,0.97069,0.94459,0.97712,0.81702,0.74993,0.44534,0.00737,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,9890.39,0.83119,0.42545,0.00592,0.96572,0.94709,0.97696,0.81538,0.75067,0.44913,0.00738,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,9994.61,0.83479,0.43693,0.00599,0.96808,0.94458,0.97658,0.81646,0.74998,0.4578,0.00735,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,10098.8,0.83382,0.43004,0.00595,0.96583,0.94407,0.97643,0.81675,0.75084,0.46671,0.00734,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,10203.3,0.83266,0.42397,0.00597,0.96439,0.94519,0.97537,0.81496,0.75383,0.46982,0.00737,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,10307.6,0.83364,0.42649,0.00591,0.96381,0.94559,0.97527,0.81366,0.75561,0.46958,0.00739,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,10411.9,0.83114,0.42811,0.00598,0.96461,0.94084,0.97506,0.81312,0.75693,0.46786,0.00739,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,10516,0.82452,0.42198,0.00596,0.96544,0.94597,0.97585,0.81517,0.75719,0.46123,0.00739,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,10620.3,0.81915,0.41153,0.00584,0.96593,0.94559,0.97586,0.81563,0.75789,0.46077,0.00741,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,10724.6,0.81872,0.42069,0.00593,0.96797,0.94672,0.97626,0.81554,0.75546,0.46217,0.00738,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,10828.7,0.82132,0.42094,0.00586,0.96408,0.94784,0.97602,0.81546,0.75347,0.46539,0.00739,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,10932.9,0.82577,0.42435,0.00584,0.96705,0.94634,0.97637,0.81589,0.75446,0.46574,0.00738,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,11037.1,0.81797,0.42209,0.00584,0.96983,0.94334,0.97614,0.81578,0.75359,0.46617,0.00738,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,11141.4,0.80984,0.41894,0.00578,0.96956,0.94334,0.97592,0.81586,0.75331,0.46598,0.00736,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,11245.8,0.82401,0.42287,0.00587,0.96885,0.94747,0.97556,0.81676,0.7511,0.46521,0.00732,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,11350.2,0.81579,0.417,0.00583,0.97021,0.94088,0.97589,0.81696,0.75087,0.46684,0.00733,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
