epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
76,16095.7,0.86122,0.45647,0.00622,0.97442,0.94326,0.97589,0.81271,0.77086,0.42453,0.00759,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,16307.2,0.86282,0.44584,0.00618,0.97391,0.93863,0.97685,0.8126,0.77618,0.42438,0.00772,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,16519.6,0.85407,0.45422,0.00612,0.96757,0.94034,0.97578,0.81108,0.76769,0.4378,0.00761,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,16731.1,0.85411,0.44821,0.00612,0.95939,0.94849,0.97401,0.81025,0.76824,0.44059,0.0076,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,16942.7,0.85485,0.43705,0.00612,0.9707,0.94476,0.97523,0.81194,0.76418,0.43942,0.00756,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,17154.8,0.85802,0.43892,0.00614,0.97029,0.94345,0.97507,0.81023,0.7698,0.43622,0.0077,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,17366.2,0.85316,0.43476,0.00617,0.96992,0.94372,0.97524,0.81163,0.76964,0.44025,0.00772,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,17578.3,0.84444,0.43978,0.00608,0.97222,0.94109,0.9751,0.80984,0.77125,0.43671,0.0077,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,17789.7,0.85234,0.44467,0.0062,0.96339,0.94897,0.97428,0.80788,0.77171,0.44762,0.00757,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,18001.9,0.85007,0.44571,0.00612,0.9648,0.94484,0.97473,0.80923,0.77012,0.44983,0.00755,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,18213.7,0.84861,0.43976,0.0061,0.96373,0.94822,0.97485,0.80799,0.76732,0.44156,0.00752,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
