epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
65,13606.2,0.89902,0.49002,0.00659,0.96791,0.93949,0.97238,0.80188,0.7469,0.42809,0.00745,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,13815.2,0.88818,0.47606,0.00651,0.9732,0.94007,0.97285,0.79808,0.75165,0.41712,0.00751,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,14023.9,0.88271,0.47406,0.00649,0.97643,0.93734,0.97329,0.80248,0.74597,0.42833,0.00746,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,14232.7,0.88854,0.48995,0.00654,0.9715,0.93959,0.97399,0.80419,0.74939,0.41565,0.00746,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,14441.3,0.88299,0.47681,0.00649,0.97439,0.93583,0.97424,0.80645,0.73395,0.43604,0.00736,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,14650.1,0.8848,0.47481,0.00645,0.96951,0.94258,0.97539,0.80824,0.74509,0.40337,0.00748,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,14858.8,0.8804,0.46995,0.0065,0.96626,0.94597,0.97486,0.80699,0.74336,0.40499,0.00746,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,15067.5,0.88101,0.46762,0.00645,0.96485,0.94559,0.97362,0.80493,0.73827,0.40362,0.00742,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,15276.4,0.87801,0.47322,0.00644,0.96798,0.94164,0.97336,0.80619,0.73546,0.40585,0.0074,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,15485,0.873,0.46793,0.00643,0.96901,0.93856,0.97309,0.80849,0.73595,0.4058,0.00742,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,15693.9,0.8757,0.4649,0.00641,0.96294,0.94859,0.97462,0.81015,0.73331,0.40735,0.00734,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,15902.8,0.87728,0.47813,0.00646,0.96627,0.94588,0.97451,0.81036,0.72949,0.40809,0.0073,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,16111.7,0.8747,0.46804,0.00639,0.96603,0.93996,0.9744,0.80756,0.73386,0.40499,0.00734,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,16320.7,0.86864,0.46738,0.00636,0.96432,0.94319,0.97522,0.80658,0.73376,0.41011,0.00735,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,16529.6,0.86878,0.46479,0.00637,0.96557,0.94708,0.97463,0.80741,0.73105,0.41289,0.00733,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,16738.4,0.86569,0.45904,0.00633,0.96766,0.94324,0.97489,0.80912,0.73448,0.40796,0.00738,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,16947.4,0.86743,0.46551,0.00629,0.96779,0.94447,0.97504,0.80808,0.73576,0.40637,0.00737,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,17156.2,0.85721,0.45983,0.00628,0.96484,0.94741,0.97484,0.80923,0.73729,0.40407,0.00739,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,17364.4,0.86398,0.46051,0.00631,0.96674,0.94522,0.97491,0.80653,0.73569,0.4078,0.00737,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,17572.7,0.86411,0.46058,0.00635,0.96249,0.95323,0.97439,0.80701,0.73641,0.41341,0.00738,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,17780.9,0.86471,0.45607,0.00627,0.96557,0.94717,0.97396,0.80547,0.73623,0.40863,0.00735,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,17989.3,0.85724,0.4614,0.00625,0.96711,0.94484,0.97327,0.80676,0.73874,0.40711,0.00742,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,18197.7,0.85782,0.46509,0.0062,0.9647,0.94338,0.96924,0.80424,0.74088,0.41049,0.00746,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,18405.9,0.85098,0.45395,0.00618,0.96295,0.94447,0.96967,0.80595,0.73921,0.41175,0.00743,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,18614.2,0.85354,0.45234,0.0062,0.95555,0.95122,0.97262,0.80541,0.73789,0.40666,0.00741,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,18822.3,0.8447,0.44282,0.00613,0.95456,0.95422,0.97369,0.80523,0.73957,0.40071,0.00743,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,19030.6,0.84959,0.4503,0.00621,0.9655,0.94221,0.97343,0.80552,0.73713,0.40698,0.00739,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,19238.8,0.85851,0.45952,0.00625,0.95895,0.94667,0.97329,0.80494,0.7375,0.41126,0.00736,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,19446.9,0.84461,0.44921,0.00614,0.96465,0.94034,0.97322,0.80661,0.73698,0.41319,0.00736,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,19654.8,0.84298,0.44412,0.00612,0.96048,0.94409,0.97228,0.80776,0.73585,0.41389,0.00734,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,19862.9,0.84203,0.44042,0.00608,0.96175,0.94359,0.97275,0.8072,0.73662,0.41495,0.00735,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,20071,0.84898,0.4456,0.00616,0.9633,0.94371,0.97266,0.80623,0.73663,0.41261,0.00735,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,20279.1,0.84047,0.43737,0.00609,0.96088,0.94934,0.97296,0.80551,0.73789,0.4084,0.00737,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,20487.5,0.84558,0.44358,0.00608,0.95629,0.94822,0.96929,0.80564,0.73833,0.41052,0.00736,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,20695.7,0.83778,0.4403,0.00613,0.96246,0.94972,0.9698,0.80587,0.73844,0.40775,0.00736,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,20904,0.83897,0.44463,0.00608,0.96399,0.94409,0.9696,0.80542,0.73961,0.40717,0.00736,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
